risk_score	file	lines	incoming	outgoing	direct_writes	serializers	broad_catches	empty_catches	test_refs	tags	sample_tests
19	lib/core/services/sync_service.push_infrastructure.dart	439	1	0	7	0	4	0	2	authority,persistence,sync,lifecycle,many_remote_writes	test/runtime_module_population_fence_contract_test.dart | test/sync_service_decomposition_contract_test.dart
19	.github/workflows/production-artifact.yml	387	0	0	0	0	0	0	1	authority,persistence,sync,lifecycle,security_identity	test/production_release_provenance_contract_test.dart
19	.github/workflows/release-gate.yml	258	0	0	0	0	0	0	2	authority,persistence,sync,lifecycle,security_identity	test/release_gate_action_pin_contract_test.dart | test/runtime_module_population_fence_contract_test.dart
18	lib/features/maintenance_workflow/domain/workflow_types.dart	63	19	0	0	0	0	0	4	lifecycle	test/maintenance_workflow/compliance_decision_policy_test.dart | test/maintenance_workflow/equipment_projection_test.dart | test/maintenance_workflow/workflow_aggregate_test.dart | test/maintenance_workflow/workflow_command_contract_test.dart
18	lib/features/maintenance_workflow/data/workflow_command_record.dart	36	5	0	0	0	0	0	0	persistence,sync,lifecycle,no_direct_test_reference	-
18	lib/features/planned_maintenance/providers/job_diary_provider.dart	930	3	9	4	9	2	0	2	persistence,sync,lifecycle,medium_large,serialization_hub	test/issue_1_tombstone_conflict_regression_test.dart | test/runtime_module_population_no_loss_test.dart
18	functions/src/maintenanceWorkflow/finalizeJobHandler.ts	373	1	10	3	0	1	0	0	authority,persistence,sync,lifecycle,no_direct_test_reference	-
18	functions/src/maintenanceWorkflow/escalationSweep.ts	175	1	3	2	0	0	0	0	authority,persistence,sync,lifecycle,no_direct_test_reference	-
18	functions/src/maintenanceWorkflow/jobCreationHandler.ts	121	1	7	1	0	0	0	0	authority,persistence,sync,lifecycle,no_direct_test_reference	-
18	tools/release/New-ProductionArtifact.ps1	1232	0	0	0	0	0	0	2	authority,persistence,lifecycle,security_identity,large	test/production_release_provenance_contract_test.dart | test/stage2d_f_internal_controlled_deployment_scope_contract_test.dart
17	lib/core/widgets/dashboard/status_badge.dart	62	36	0	0	0	0	0	0	no_direct_test_reference	-
17	lib/core/services/remote_tombstone_apply_result.dart	37	9	0	0	0	0	0	1	persistence,sync	test/issue_1_tombstone_conflict_regression_test.dart
17	lib/core/services/sync_remote_freshness_policy.dart	32	9	0	0	0	0	0	1	authority,sync	test/sync_remote_freshness_policy_test.dart
17	functions/src/maintenanceWorkflow/authority.ts	44	8	2	0	0	0	0	0	authority,lifecycle,no_direct_test_reference	-
17	lib/features/maintenance_workflow/data/workflow_aggregate_record.dart	37	8	0	0	0	0	0	0	persistence,lifecycle,no_direct_test_reference	-
17	lib/features/admin/utils/admin_ticket_helpers.dart	105	4	1	1	0	0	0	0	persistence,sync,lifecycle,no_direct_test_reference	-
17	lib/features/maintenance_workflow/data/equipment_prompt_record.dart	31	4	0	0	0	0	0	0	persistence,sync,lifecycle,no_direct_test_reference	-
17	lib/features/maintenance_workflow/data/compliance_attempt_record.dart	29	4	0	0	0	0	0	0	persistence,sync,lifecycle,no_direct_test_reference	-
17	lib/features/planned_maintenance/services/runtime_job_module_population_service.dart	369	2	1	0	2	2	0	3	authority,persistence,sync,lifecycle	test/runtime_job_module_population_exception_test.dart | test/runtime_module_population_fence_contract_test.dart | test/runtime_module_population_no_loss_test.dart
17	lib/core/services/isar_schema_migration.dart	293	2	0	0	0	0	0	1	persistence,sync,lifecycle,security_identity	test/isar_schema_migrator_test.dart
17	lib/features/planned_maintenance/presentation/job_history_screen.dart	1236	1	7	0	0	0	0	0	persistence,sync,lifecycle,large,no_direct_test_reference	-
17	lib/features/planned_maintenance/presentation/widgets/publish_metadata_dialog.dart	926	1	7	2	0	1	0	4	persistence,sync,lifecycle,security_identity,medium_large	test/async_mounted_context_safety_contract_test.dart | test/publish_metadata_dialog_integration_test.dart | test/publish_metadata_dialog_test.dart | test/template_version_lifecycle_contract_test.dart
17	lib/features/planned_maintenance/presentation/module_registry_authoring_screen.dart	914	1	5	0	0	3	0	3	authority,persistence,sync,lifecycle,medium_large	test/lifecycle_static_guardrail_contract_test.dart | test/module_registry_authoring_hardening_contract_test.dart | test/module_registry_authoring_screen_test.dart
17	lib/features/directives/presentation/directives_screen.dart	897	1	9	0	0	2	0	3	authority,persistence,sync,lifecycle,medium_large	test/async_mounted_context_safety_contract_test.dart | test/field_hardening_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart
17	lib/features/directives/presentation/create_directive_screen.dart	768	1	8	0	0	1	0	1	authority,persistence,sync,lifecycle,medium_large	test/async_mounted_context_safety_contract_test.dart
17	lib/features/planned_maintenance/presentation/assign_job_screen.dart	562	1	12	0	0	1	0	1	persistence,sync,lifecycle,security_identity,medium_large	test/async_mounted_context_safety_contract_test.dart
17	lib/features/admin/presentation/admin_data_browser/admin_tickets_browser.dart	556	1	10	0	0	2	0	3	authority,persistence,sync,lifecycle,medium_large	test/async_mounted_context_safety_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart | test/master_data_field_hardening_contract_test.dart
16	lib/features/planned_maintenance/data/module_registry_model.dart	764	5	6	0	7	4	0	4	persistence,lifecycle,medium_large,serialization_hub	test/module_registry_authoring_screen_test.dart | test/module_registry_concurrency_test.dart | test/module_registry_model_test.dart | test/module_workshop_screen_test.dart
16	lib/features/abnormalities/presentation/abnormality_types_screen.dart	1253	2	10	1	0	3	0	3	persistence,sync,lifecycle,large	test/async_mounted_context_safety_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart | test/master_data_field_hardening_contract_test.dart
16	lib/core/services/sync_service.tickets_templates.dart	634	1	0	7	0	0	0	2	persistence,sync,lifecycle,medium_large,many_remote_writes	test/maintenance_lifecycle_replay_contract_test.dart | test/sync_service_decomposition_contract_test.dart
16	lib/features/planned_maintenance/presentation/template_publisher_screen.actions.dart	428	1	0	0	0	5	0	3	persistence,sync,lifecycle,security_identity	test/async_mounted_context_safety_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart | test/template_version_lifecycle_contract_test.dart
16	lib/features/admin/presentation/admin_data_browser/admin_directives_browser.dart	427	1	11	0	0	2	0	3	authority,persistence,sync,lifecycle	test/async_mounted_context_safety_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart | test/master_data_field_hardening_contract_test.dart
16	lib/features/planned_maintenance/presentation/module_composer_screen.support.dart	398	1	0	0	1	3	0	3	persistence,sync,lifecycle,security_identity	test/composer_publish_sync_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart | test/module_composer_hardening_contract_test.dart
